"Player","ID","season","cut","misc","postup","prman","putback","transition","handoff","offscreen","prhandler","spotup","isolation"
"RyanHollins","200797",2016,21,10,NA,10,13,NA,NA,NA,NA,NA,NA
"J.J.Barea","200826",2016,10,32,NA,NA,NA,74,44,15,455,148,77
"KevinDurant","201142",2016,73,87,149,100,23,277,40,259,348,202,273
"AlHorford","201143",2016,130,57,169,301,67,122,NA,43,NA,281,40
"MikeConley","201144",2016,23,42,NA,NA,12,99,82,70,378,109,56
"JeffGreen","201145",2016,69,38,99,47,46,150,28,40,148,216,105
"CoreyBrewer","201147",2016,34,42,NA,NA,16,228,46,45,32,226,14
"BrandanWright","201148",2016,14,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
"JoakimNoah","201149",2016,29,43,10,20,60,14,NA,NA,NA,16,NA
"SpencerHawes","201150",2016,50,39,54,71,29,19,NA,NA,NA,112,12
"ThaddeusYoung","201152",2016,187,45,187,212,103,189,NA,14,25,109,98
"RodneyStuckey","201155",2016,19,32,NA,NA,NA,126,51,27,184,95,33
"NickYoung","201156",2016,NA,15,NA,NA,NA,62,31,76,71,124,30
"MarcoBelinelli","201158",2016,29,36,NA,NA,NA,100,71,258,102,156,NA
"JasonSmith","201160",2016,37,57,14,238,27,27,NA,22,NA,159,NA
"JaredDudley","201162",2016,41,25,NA,82,18,124,NA,34,NA,264,NA
"AaronBrooks","201166",2016,NA,29,NA,NA,NA,60,39,NA,323,71,41
"ArronAfflalo","201167",2016,31,30,158,NA,NA,123,65,139,75,218,82
"TiagoSplitter","201168",2016,77,14,27,32,30,10,NA,NA,NA,NA,NA
"CarlLandry","201171",2016,48,11,64,54,38,17,NA,NA,NA,52,17
"JoshMcRoberts","201177",2016,14,23,NA,36,NA,NA,NA,NA,NA,67,25
"MarcGasol","201188",2016,77,63,376,207,30,18,NA,13,NA,98,52
"RamonSessions","201196",2016,43,42,NA,NA,NA,215,29,25,291,147,30
"C.J.Watson","201228",2016,NA,16,NA,NA,NA,39,NA,NA,46,39,10
"AnthonyTolliver","201229",2016,12,16,NA,41,NA,54,NA,31,NA,209,NA
"MichaelBeasley","201563",2016,20,13,14,31,18,38,NA,NA,13,51,44
"O.J.Mayo","201564",2016,12,39,10,NA,NA,73,45,36,62,108,16
"DerrickRose","201565",2016,45,57,NA,NA,28,189,46,17,563,216,126
"RussellWestbrook","201566",2016,38,89,190,NA,61,475,47,20,722,141,254
"KevinLove","201567",2016,54,66,310,193,71,114,19,58,NA,332,42
"DaniloGallinari","201568",2016,52,51,82,39,34,96,64,46,116,206,183
"EricGordon","201569",2016,10,19,NA,NA,NA,110,45,75,179,187,47
"D.J.Augustin","201571",2016,NA,32,NA,NA,NA,68,37,NA,214,90,21
"BrookLopez","201572",2016,206,71,448,319,149,55,11,19,NA,128,99
"JerrydBayless","201573",2016,14,26,NA,NA,NA,85,49,47,115,163,39
"JasonThompson","201574",2016,13,NA,NA,14,14,NA,NA,NA,NA,21,NA
"BrandonRush","201575",2016,21,19,NA,NA,10,79,NA,24,12,132,NA
"RobinLopez","201577",2016,162,75,254,113,196,22,NA,NA,NA,33,13
"MarreeseSpeights","201578",2016,58,37,49,124,61,40,NA,61,NA,108,29
"RoyHibbert","201579",2016,65,62,162,94,69,18,NA,NA,NA,67,NA
"JaValeMcGee","201580",2016,50,14,13,39,34,NA,NA,NA,NA,10,NA
"JJHickson","201581",2016,37,11,14,42,18,13,NA,NA,NA,13,NA
"AlexisAjinca","201582",2016,68,34,38,109,43,17,NA,18,NA,60,NA
"RyanAnderson","201583",2016,29,42,195,168,105,93,15,114,26,224,103
"CourtneyLee","201584",2016,32,28,NA,NA,11,117,38,105,120,247,34
"KostaKoufos","201585",2016,176,30,71,113,92,42,NA,NA,NA,NA,NA
"SergeIbaka","201586",2016,103,69,31,277,71,128,NA,21,NA,307,18
"NicolasBatum","201587",2016,28,68,57,NA,25,121,139,183,260,152,107
"GeorgeHill","201588",2016,31,49,11,NA,22,186,37,83,259,178,43
"DarrellArthur","201589",2016,68,45,46,120,45,48,NA,15,NA,174,14
"NikolaPekovic","201593",2016,NA,NA,36,11,NA,NA,NA,NA,NA,NA,NA
"MarioChalmers","201596",2016,14,56,NA,NA,14,94,37,15,262,104,36
"DeAndreJordan","201599",2016,185,226,64,181,155,67,NA,NA,NA,NA,NA
"OmerAsik","201600",2016,108,43,NA,66,73,NA,NA,NA,NA,NA,NA
"LucMbah a Moute","201601",2016,66,13,NA,20,22,49,NA,NA,NA,79,NA
"SonnyWeems","201603",2016,13,NA,NA,NA,NA,19,15,NA,29,33,NA
"GoranDragic","201609",2016,31,52,NA,NA,26,234,66,43,431,179,70
"AnthonyMorrow","201627",2016,11,16,NA,NA,NA,58,23,42,16,167,18
"BlakeGriffin","201933",2016,42,48,165,163,28,86,NA,21,44,103,73
"JamesHarden","201935",2016,39,131,112,NA,29,492,87,80,606,191,566
"TyrekeEvans","201936",2016,NA,23,NA,NA,10,62,29,NA,166,48,74
"RickyRubio","201937",2016,10,67,NA,NA,NA,170,37,NA,374,208,36
"StephenCurry","201939",2016,120,147,NA,15,32,404,95,285,526,182,201
"JordanHill","201941",2016,121,53,169,139,92,33,NA,NA,NA,53,34
"DeMarDeRozan","201942",2016,29,69,155,NA,22,145,77,249,593,195,296
"BrandonJennings","201943",2016,NA,23,NA,NA,NA,84,14,NA,145,75,18
"GeraldHenderson","201945",2016,35,38,52,NA,16,87,49,55,121,147,57
"JamesJohnson","201949",2016,21,14,18,NA,17,50,NA,13,21,99,56
"JrueHoliday","201950",2016,24,74,17,NA,16,125,67,46,618,103,105
"TyLawson","201951",2016,NA,26,NA,NA,NA,103,15,NA,163,115,32
"JeffTeague","201952",2016,21,78,13,NA,NA,233,74,44,545,138,187
"DarrenCollison","201954",2016,32,67,NA,NA,10,300,34,NA,252,183,111
"OmriCasspi","201956",2016,73,33,10,22,36,186,36,37,35,302,21
"TajGibson","201959",2016,167,41,156,77,119,29,NA,NA,NA,37,11
"DeMarreCarroll","201960",2016,26,18,NA,NA,14,69,11,26,30,105,19
"WayneEllington","201961",2016,26,25,NA,NA,10,101,45,93,112,201,15
"ToneyDouglas","201962",2016,17,33,NA,NA,NA,96,41,NA,206,108,38
"DanteCunningham","201967",2016,57,29,NA,22,22,93,14,11,19,215,NA
"JonasJerebko","201973",2016,44,31,18,44,26,53,NA,NA,NA,136,NA
"PatrickBeverley","201976",2016,NA,49,NA,14,25,146,19,NA,138,265,58
"MarcusThornton","201977",2016,22,29,NA,NA,17,108,33,52,139,169,23
"ChaseBudinger","201978",2016,26,10,NA,NA,21,64,11,39,21,81,NA
"DannyGreen","201980",2016,32,42,NA,NA,20,138,33,69,29,281,12
"PattyMills","201988",2016,35,36,NA,NA,NA,97,55,87,202,173,16
"GarrettTemple","202066",2016,26,39,NA,NA,15,197,16,49,61,202,14
"WesleyMatthews","202083",2016,27,44,98,13,11,108,65,118,91,358,57
"AlonzoGee","202087",2016,43,23,NA,NA,29,105,NA,NA,10,111,NA
"JohnWall","202322",2016,16,96,16,NA,18,422,45,28,721,230,200
"EvanTurner","202323",2016,43,41,105,NA,23,150,57,22,315,138,105
"DerrickFavors","202324",2016,232,61,231,226,88,37,NA,NA,NA,109,26
"WesleyJohnson","202325",2016,32,31,NA,34,13,121,50,35,12,243,11
"DeMarcusCousins","202326",2016,98,135,363,278,131,237,47,47,22,308,209
"GregMonroe","202328",2016,212,57,407,130,170,65,NA,13,NA,75,62
"Al-FarouqAminu","202329",2016,46,40,19,36,52,161,54,45,76,336,34
"GordonHayward","202330",2016,62,60,33,14,32,218,185,121,392,313,176
"PaulGeorge","202331",2016,71,114,65,22,38,312,103,309,408,217,270
"ColeAldrich","202332",2016,69,34,21,142,46,14,NA,NA,NA,NA,NA
"EdDavis","202334",2016,130,44,21,120,137,15,NA,NA,NA,NA,NA
"PatrickPatterson","202335",2016,15,40,14,81,49,59,NA,NA,NA,302,NA
"LukeBabbitt","202337",2016,NA,NA,NA,NA,22,46,16,36,23,146,15
"KevinSeraphin","202338",2016,28,23,112,35,12,15,NA,NA,NA,18,14
"EricBledsoe","202339",2016,11,41,11,NA,NA,127,18,30,259,83,89
"AveryBradley","202340",2016,54,46,NA,NA,22,237,203,173,160,240,46
"JamesAnderson","202341",2016,NA,NA,NA,NA,NA,62,18,10,39,77,NA
"TrevorBooker","202344",2016,95,53,17,84,101,67,NA,NA,NA,88,10
"GreivisVasquez","202349",2016,NA,10,NA,NA,NA,17,14,NA,60,64,NA
"HassanWhiteside","202355",2016,173,99,210,199,196,38,NA,NA,NA,19,20
"NemanjaBjelica","202357",2016,24,32,14,38,27,29,NA,NA,NA,100,31
"LanceStephenson","202362",2016,14,22,20,NA,27,85,15,NA,133,122,151
"DonaldSloan","202388",2016,39,33,NA,NA,NA,84,26,NA,157,98,29
"TimofeyMozgov","202389",2016,152,30,85,79,41,34,NA,NA,NA,47,NA
"GaryNeal","202390",2016,NA,13,NA,NA,NA,52,37,53,92,95,23
"JeremyLin","202391",2016,43,56,NA,NA,NA,134,74,72,332,222,75
"IshSmith","202397",2016,NA,55,NA,NA,12,229,38,12,539,169,126
"LanceThomas","202498",2016,42,38,26,12,19,64,NA,28,29,190,32
"KyrieIrving","202681",2016,14,52,20,NA,15,140,46,46,466,114,153
"DerrickWilliams","202682",2016,81,23,71,55,28,153,20,37,38,156,81
"EnesFreedom","202683",2016,157,61,178,190,204,83,NA,NA,NA,48,14
"TristanThompson","202684",2016,167,66,34,124,139,43,NA,NA,NA,15,NA
"JonasValanciunas","202685",2016,147,61,195,101,144,28,NA,NA,NA,23,NA
"BismackBiyombo","202687",2016,159,72,17,90,106,16,NA,NA,NA,NA,NA
"BrandonKnight","202688",2016,27,45,NA,NA,12,147,85,58,488,160,119
"KembaWalker","202689",2016,33,90,NA,NA,22,233,101,55,789,236,130
"KlayThompson","202691",2016,136,73,59,14,19,283,58,500,115,275,81
