"Player","ID","season","cut","misc","postup","prman","putback","transition","handoff","offscreen","prhandler","spotup","isolation"
"JusufNurkic","203994",2016,40,32,108,83,52,11,NA,NA,NA,11,NA
"NikolaJokic","203999",2016,122,78,157,154,108,47,NA,NA,NA,85,28
"KristapsPorzingis","204001",2016,120,65,168,153,81,80,NA,84,13,277,68
"TylerJohnson","204020",2016,12,25,NA,NA,11,36,30,14,88,85,16
"TimFrazier","204025",2016,NA,10,NA,NA,NA,40,NA,NA,104,25,31
"TarikBlack","204028",2016,25,18,15,43,30,NA,NA,NA,NA,NA,NA
"LangstonGalloway","204038",2016,35,40,NA,NA,19,153,56,42,121,194,33
"JoeIngles","204060",2016,NA,17,NA,NA,NA,39,53,11,56,162,16
"XavierMunford","204098",2016,NA,NA,NA,NA,NA,17,NA,NA,38,21,NA
"T.J.McConnell","204456",2016,16,40,NA,NA,13,82,46,19,287,78,43
"TysonChandler","2199",2016,129,73,40,87,104,24,NA,NA,NA,20,NA
"PauGasol","2200",2016,93,115,266,273,112,64,NA,22,NA,260,75
"JoeJohnson","2207",2016,NA,38,127,NA,11,112,15,62,268,262,145
"RichardJefferson","2210",2016,21,20,NA,NA,NA,64,31,19,25,186,16
"ZachRandolph","2216",2016,69,60,400,107,129,34,NA,14,NA,111,175
"TonyParker","2225",2016,25,38,NA,NA,NA,115,44,64,469,110,51
"ChrisAndersen","2365",2016,17,10,NA,20,17,NA,NA,NA,NA,11,NA
"MikeDunleavy","2399",2016,26,11,NA,NA,NA,35,27,39,13,64,NA
"DrewGooden","2400",2016,NA,NA,NA,32,17,11,NA,NA,NA,32,NA
"Nene","2403",2016,116,32,169,92,19,41,NA,NA,NA,33,36
"Amar'eStoudemire","2405",2016,58,18,57,81,42,12,NA,11,NA,11,NA
"CaronButler","2406",2016,NA,NA,NA,NA,NA,11,NA,NA,NA,30,NA
"TayshaunPrince","2419",2016,23,14,21,10,NA,36,NA,NA,21,116,NA
"MattBarnes","2440",2016,81,75,20,29,54,180,27,61,46,270,25
"LuisScola","2449",2016,55,36,109,130,58,96,NA,NA,NA,207,NA
"LeBronJames","2544",2016,105,107,197,67,67,361,35,39,400,124,354
"CarmeloAnthony","2546",2016,52,95,369,29,69,135,43,66,218,190,393
"ChrisBosh","2547",2016,44,45,83,235,29,44,12,72,11,260,129
"DwyaneWade","2548",2016,79,73,165,NA,59,200,69,87,546,114,172
"KirkHinrich","2550",2016,NA,12,NA,NA,NA,31,13,NA,42,38,NA
"NickCollison","2555",2016,42,30,NA,44,36,NA,NA,NA,NA,NA,NA
"DavidWest","2561",2016,81,39,115,106,33,39,NA,11,NA,98,19
"BorisDiaw","2564",2016,41,29,196,58,19,31,NA,NA,NA,102,23
"KendrickPerkins","2570",2016,24,23,23,31,NA,NA,NA,NA,NA,NA,NA
"LeandroBarbosa","2571",2016,16,30,NA,NA,NA,123,24,70,65,87,26
"SteveBlake","2581",2016,NA,39,NA,NA,NA,28,21,12,137,78,10
"ZazaPachulia","2585",2016,225,83,30,128,108,29,NA,NA,NA,65,40
"MoWilliams","2590",2016,NA,26,NA,NA,NA,55,26,16,162,69,15
"KyleKorver","2594",2016,25,42,NA,NA,NA,100,95,227,49,173,NA
"DwightHoward","2730",2016,216,155,297,91,144,61,NA,NA,NA,NA,NA
"ShaunLivingston","2733",2016,88,47,95,NA,18,75,20,NA,63,45,34
"DevinHarris","2734",2016,29,45,NA,NA,NA,105,24,17,111,143,18
"LuolDeng","2736",2016,87,49,61,64,63,141,17,41,26,323,39
"AndreIguodala","2738",2016,39,52,14,NA,16,115,11,26,37,129,38
"KrisHumphries","2743",2016,37,31,NA,77,18,45,NA,NA,NA,115,NA
"AlJefferson","2744",2016,81,15,304,99,34,11,NA,NA,NA,28,NA
"JoshSmith","2746",2016,43,42,34,88,12,60,NA,NA,20,102,27
"JRSmith","2747",2016,17,44,12,NA,NA,144,43,156,74,317,120
"JameerNelson","2749",2016,NA,15,NA,NA,NA,36,28,NA,182,80,30
"TonyAllen","2754",2016,104,44,15,NA,66,142,18,NA,31,140,28
"KevinMartin","2755",2016,30,19,18,NA,NA,83,23,114,77,96,57
"SashaVujacic","2756",2016,NA,21,NA,NA,NA,50,40,55,36,118,NA
"BenoUdrih","2757",2016,NA,12,NA,NA,NA,22,27,NA,105,47,NA
"AndersonVarejao","2760",2016,24,11,10,18,11,NA,NA,NA,NA,22,NA
"TrevorAriza","2772",2016,36,45,NA,14,32,250,41,87,74,420,40
"KevinGarnett","708",2016,13,17,26,28,NA,13,NA,NA,NA,36,NA
"KobeBryant","977",2016,24,59,183,12,26,129,93,97,281,170,267
"AndrewBogut","101106",2017,26,43,12,15,29,NA,NA,NA,NA,NA,NA
"MarvinWilliams","101107",2017,75,53,37,112,49,92,19,37,NA,352,NA
"ChrisPaul","101108",2017,NA,79,31,NA,NA,146,28,NA,465,94,182
"RaymondFelton","101109",2017,NA,37,NA,NA,NA,78,31,12,261,124,69
"ChanningFrye","101112",2017,37,39,47,105,21,62,NA,38,NA,241,10
"DeronWilliams","101114",2017,13,37,29,NA,NA,61,26,72,291,103,102
"GeraldGreen","101123",2017,16,NA,NA,NA,12,37,21,36,41,76,15
"IanMahinmi","101133",2017,43,26,22,36,27,12,NA,NA,NA,NA,NA
"DavidLee","101135",2017,127,36,73,95,89,52,NA,NA,NA,40,29
"BrandonBass","101138",2017,33,13,54,65,31,23,NA,NA,NA,21,13
"CJMiles","101139",2017,14,29,NA,24,19,117,51,186,26,235,NA
"ErsanIlyasova","101141",2017,84,65,81,148,96,180,16,58,22,304,15
"MontaEllis","101145",2017,15,37,NA,NA,NA,129,38,45,277,160,39
"LouWilliams","101150",2017,26,48,NA,NA,NA,213,110,64,565,168,126
"AmirJohnson","101161",2017,141,51,33,82,62,46,NA,NA,NA,63,13
"MarcinGortat","101162",2017,255,68,176,194,122,35,NA,NA,NA,NA,NA
"JoseCalderon","101181",2017,NA,NA,NA,NA,NA,NA,24,NA,65,48,NA
"AlanAnderson","101187",2017,NA,NA,NA,NA,NA,NA,NA,NA,11,47,18
"JahlilOkafor","1626143",2017,72,35,200,58,56,35,NA,NA,NA,38,128
"EmmanuelMudiay","1626144",2017,39,30,16,NA,15,145,65,17,216,158,47
"TyusJones","1626145",2017,NA,19,NA,NA,NA,47,NA,NA,74,67,14
"JustinAnderson","1626147",2017,46,30,NA,NA,39,72,31,35,35,195,53
"AnthonyBrown","1626148",2017,NA,NA,NA,NA,NA,13,NA,NA,NA,17,NA
"MontrezlHarrell","1626149",2017,126,27,15,105,52,59,NA,NA,13,24,NA
"AndrewHarrison","1626150",2017,14,39,NA,NA,NA,63,13,12,211,113,64
"DelonWright","1626153",2017,NA,NA,NA,NA,NA,30,NA,NA,78,21,14
"SamDekker","1626155",2017,42,21,NA,20,45,132,NA,24,NA,193,NA
"D'AngeloRussell","1626156",2017,26,68,54,NA,12,138,102,58,445,129,88
"Karl-AnthonyTowns","1626157",2017,112,99,477,363,206,129,NA,108,NA,211,154
"RichaunHolmes","1626158",2017,121,44,12,114,58,58,NA,NA,NA,81,10
"JustiseWinslow","1626159",2017,14,15,14,16,NA,48,NA,NA,61,66,23
"WillieCauley-Stein","1626161",2017,156,47,73,124,50,56,NA,NA,NA,54,49
"KellyOubre Jr.","1626162",2017,35,23,NA,NA,44,118,17,37,42,195,14
"FrankKaminsky","1626163",2017,71,46,113,204,29,51,11,44,10,325,40
"DevinBooker","1626164",2017,36,79,100,NA,29,376,87,221,496,188,241
"CameronPayne","1626166",2017,NA,NA,NA,NA,NA,29,NA,NA,91,62,11
"MylesTurner","1626167",2017,204,78,107,335,77,99,10,NA,NA,165,23
"TreyLyles","1626168",2017,21,26,29,75,30,42,12,29,21,238,15
"StanleyJohnson","1626169",2017,NA,22,NA,NA,18,79,15,13,122,157,22
"JerianGrant","1626170",2017,NA,22,17,NA,NA,58,17,NA,88,125,32
"BobbyPortis","1626171",2017,33,26,40,61,52,46,NA,NA,NA,157,13
"RashadVaughn","1626173",2017,NA,NA,NA,NA,NA,28,19,19,17,70,NA
"RondaeHollis-Jefferson","1626178",2017,102,28,57,35,46,163,19,17,73,163,73
"TerryRozier","1626179",2017,16,26,NA,NA,16,88,35,30,111,125,37
"NormanPowell","1626181",2017,12,23,NA,NA,13,144,21,30,185,170,49
"ChassonRandle","1626184",2017,NA,NA,NA,NA,NA,15,NA,NA,30,21,NA
"JarellMartin","1626185",2017,22,17,NA,26,32,26,NA,NA,NA,56,14
"QuinnCook","1626188",2017,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA
"WillyHernangomez","1626195",2017,135,51,76,135,107,50,NA,NA,NA,42,19
"JoshRichardson","1626196",2017,13,21,NA,NA,NA,84,65,32,149,202,27
"LarryNance Jr.","1626204",2017,84,28,27,101,64,54,NA,12,NA,72,NA
"MarioHezonja","1626209",2017,10,31,NA,NA,12,69,28,60,62,110,25
"AlanWilliams","1626210",2017,74,33,60,84,64,34,NA,NA,NA,NA,NA
"CristianoFelicio","1626245",2017,46,20,13,81,79,24,NA,NA,NA,27,NA
"MauriceNdour","1626254",2017,30,NA,NA,NA,14,20,NA,NA,NA,22,NA
"SalahMejri","1626257",2017,53,31,NA,50,41,NA,NA,NA,NA,14,NA
"MarceloHuertas","1626273",2017,NA,NA,NA,NA,NA,11,NA,NA,46,11,NA
"JonathanGibson","1626780",2017,NA,10,NA,NA,NA,13,NA,14,50,27,NA
"MalcolmDelaney","1627098",2017,NA,46,NA,NA,NA,76,26,18,193,102,46
"BrianteWeber","1627362",2017,10,NA,NA,NA,NA,10,NA,NA,17,NA,NA
"DraganBender","1627733",2017,NA,12,NA,11,15,31,NA,NA,NA,86,NA
"DomantasSabonis","1627734",2017,57,22,94,128,22,78,NA,NA,NA,170,13
"WadeBaldwin IV","1627735",2017,NA,23,NA,NA,NA,33,NA,NA,58,24,10
"MarqueseChriss","1627737",2017,96,58,73,86,76,128,NA,16,NA,233,39
"KrisDunn","1627739",2017,12,35,NA,NA,10,91,11,NA,147,90,27
"BuddyHield","1627741",2017,23,33,NA,NA,NA,210,61,78,171,228,64
"BrandonIngram","1627742",2017,43,44,62,NA,28,124,46,21,193,198,132
"SkalLabissiere","1627746",2017,40,25,63,39,38,20,NA,NA,NA,39,20
"CarisLeVert","1627747",2017,14,17,NA,NA,NA,108,32,20,97,148,39
"JamalMurray","1627750",2017,37,49,NA,NA,11,151,91,102,230,163,52
"JakobPoeltl","1627751",2017,43,20,NA,40,42,13,NA,NA,NA,NA,NA
"TaureanPrince","1627752",2017,11,19,NA,NA,13,79,29,31,44,145,13
"TylerUlis","1627755",2017,NA,34,NA,NA,NA,84,12,NA,301,49,50
"DenzelValentine","1627756",2017,NA,13,NA,NA,NA,71,45,10,56,131,NA
"RonBaker","1627758",2017,10,27,NA,NA,NA,53,NA,23,84,59,16
"JaylenBrown","1627759",2017,59,28,38,NA,27,113,19,13,29,176,36
"MalcolmBrogdon","1627763",2017,67,44,14,NA,20,88,40,41,248,174,56
"CheickDiallo","1627767",2017,13,NA,13,13,15,NA,NA,NA,NA,13,NA
"PatrickMcCaw","1627775",2017,23,13,NA,NA,NA,61,10,48,29,99,NA
"GaryPayton II","1627780",2017,NA,NA,NA,NA,NA,NA,NA,NA,11,10,NA
"WayneSelden","1627782",2017,NA,NA,NA,NA,NA,10,10,NA,NA,20,NA
"PascalSiakam","1627783",2017,57,14,15,21,36,49,NA,NA,NA,53,NA
"IsaiahWhitehead","1627785",2017,19,48,NA,NA,15,134,24,15,238,150,58
"TroyWilliams","1627786",2017,12,19,NA,NA,NA,56,NA,NA,13,72,NA
"TimotheLuwawu-Cabarrot","1627789",2017,39,19,NA,NA,NA,102,46,39,41,173,17
"YogiFerrell","1627812",2017,NA,30,NA,NA,NA,50,NA,23,235,94,33
"AlexPoythress","1627816",2017,NA,NA,NA,NA,NA,12,NA,NA,NA,24,NA
"JuanchoHernangomez","1627823",2017,30,16,NA,NA,33,55,13,10,NA,111,NA
"IvicaZubac","1627826",2017,72,20,42,80,30,22,NA,NA,NA,11,NA
"DorianFinney-Smith","1627827",2017,29,28,NA,NA,21,53,NA,18,19,212,12
"GeorgiosPapagiannis","1627834",2017,30,13,38,22,21,NA,NA,NA,NA,NA,NA
"PaulZipser","1627835",2017,NA,15,NA,NA,NA,46,20,NA,32,122,17
"ShawnLong","1627848",2017,18,10,10,23,36,NA,NA,NA,NA,22,NA
"MindaugasKuzminskas","1627851",2017,50,27,14,NA,30,85,12,12,31,161,21
"OkaroWhite","1627855",2017,14,13,NA,NA,12,15,NA,NA,NA,37,NA
"DerrickJones Jr.","1627884",2017,33,NA,NA,NA,27,46,NA,NA,NA,18,NA
"DavidNwaba","1628021",2017,15,NA,NA,NA,12,31,NA,NA,NA,21,NA
"VinceCarter","1713",2017,17,38,42,NA,22,45,47,65,92,199,24
"DirkNowitzki","1717",2017,20,29,164,215,15,56,NA,41,NA,190,28
"PaulPierce","1718",2017,NA,NA,NA,14,NA,10,NA,NA,NA,41,NA
"JasonTerry","1891",2017,NA,13,NA,NA,NA,58,15,28,33,122,NA
"ManuGinobili","1938",2017,28,30,NA,NA,NA,79,50,23,140,180,33
"LaMarcusAldridge","200746",2017,82,58,415,242,119,50,NA,43,NA,205,43
"RandyFoye","200751",2017,NA,29,NA,NA,NA,68,18,11,121,141,38
"RudyGay","200752",2017,25,28,63,14,21,87,24,48,83,107,68
"JJRedick","200755",2017,16,51,NA,NA,NA,157,203,339,77,202,10
"ThaboSefolosha","200757",2017,57,18,12,NA,24,94,30,28,53,153,14
"RajonRondo","200765",2017,18,47,NA,NA,23,118,31,NA,294,161,40
"KyleLowry","200768",2017,NA,59,13,13,13,209,68,64,482,167,136
"SergioRodriguez","200771",2017,NA,35,NA,NA,NA,82,50,NA,312,138,36
"P.J.Tucker","200782",2017,65,53,20,17,56,116,NA,NA,10,207,NA
"PaulMillsap","200794",2017,80,76,223,308,51,87,NA,71,21,225,165
"J.J.Barea","200826",2017,NA,16,NA,NA,NA,26,18,NA,257,53,39
"KevinDurant","201142",2017,86,63,93,33,24,297,40,178,166,188,152
"AlHorford","201143",2017,65,50,273,236,33,48,NA,34,NA,178,39
"MikeConley","201144",2017,19,79,NA,NA,10,142,107,113,549,152,130
"JeffGreen","201145",2017,24,36,81,45,18,128,30,24,78,189,52
"CoreyBrewer","201147",2017,28,24,NA,NA,NA,130,21,NA,29,151,NA
"BrandanWright","201148",2017,49,NA,10,53,14,13,NA,NA,NA,NA,NA
"JoakimNoah","201149",2017,52,39,NA,40,104,28,NA,NA,NA,17,10
"SpencerHawes","201150",2017,46,29,30,64,17,18,NA,NA,NA,61,NA
"RodneyStuckey","201155",2017,10,26,NA,NA,NA,62,24,NA,106,57,46
"NickYoung","201156",2017,12,18,NA,NA,10,148,109,116,82,178,21
"MarcoBelinelli","201158",2017,62,41,NA,NA,NA,60,92,165,147,164,12
"JasonSmith","201160",2017,24,42,NA,132,32,29,NA,NA,NA,136,NA
"JaredDudley","201162",2017,14,38,20,54,13,78,NA,51,NA,158,NA
"WilsonChandler","201163",2017,69,40,62,90,57,147,68,53,115,296,133
"AaronBrooks","201166",2017,NA,21,NA,NA,NA,39,19,14,169,72,42
"ArronAfflalo","201167",2017,22,27,58,NA,NA,51,26,66,40,163,41
"JoshMcRoberts","201177",2017,17,NA,NA,27,11,NA,NA,NA,NA,53,13
"MarcGasol","201188",2017,64,64,469,336,24,98,16,55,NA,226,106
"RamonSessions","201196",2017,13,25,NA,NA,NA,54,27,NA,163,68,NA
"C.J.Watson","201228",2017,17,23,NA,NA,NA,77,18,24,68,69,20
"AnthonyTolliver","201229",2017,34,39,17,48,18,47,NA,18,NA,212,NA
"MichaelBeasley","201563",2017,50,19,45,28,23,73,34,32,35,108,68
"DerrickRose","201565",2017,55,59,NA,NA,32,209,56,38,479,151,144
"RussellWestbrook","201566",2017,26,132,197,NA,75,550,78,53,967,129,518
"KevinLove","201567",2017,44,66,259,136,93,112,NA,68,NA,264,62
"DaniloGallinari","201568",2017,53,24,115,33,21,131,80,43,106,263,128
"EricGordon","201569",2017,20,35,NA,NA,11,257,108,97,225,343,99
"D.J.Augustin","201571",2017,NA,38,NA,NA,NA,99,51,51,271,124,31
"BrookLopez","201572",2017,91,72,406,251,90,95,24,65,NA,315,90
"JerrydBayless","201573",2017,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
"BrandonRush","201575",2017,NA,13,NA,NA,NA,46,10,12,NA,123,NA
"RobinLopez","201577",2017,146,60,148,245,172,26,15,NA,NA,90,NA
"MarreeseSpeights","201578",2017,40,45,63,173,68,50,NA,NA,NA,205,23
"RoyHibbert","201579",2017,47,26,58,18,27,NA,NA,NA,NA,25,NA
"AlexisAjinca","201582",2017,66,22,12,58,23,16,NA,NA,NA,25,NA
"RyanAnderson","201583",2017,30,40,46,158,78,133,17,65,21,283,23
"CourtneyLee","201584",2017,23,31,NA,NA,22,136,79,95,127,235,62
"KostaKoufos","201585",2017,187,35,65,72,71,31,NA,NA,NA,NA,10
"SergeIbaka","201586",2017,81,62,205,249,84,125,NA,27,NA,257,42
"NicolasBatum","201587",2017,39,48,112,NA,22,89,125,240,321,200,65
"GeorgeHill","201588",2017,25,38,NA,NA,NA,65,62,29,325,149,60
"DarrellArthur","201589",2017,10,17,NA,67,10,29,NA,NA,NA,101,NA
"DeAndreJordan","201599",2017,190,138,93,171,217,59,NA,NA,NA,NA,NA
"OmerAsik","201600",2017,40,NA,NA,10,30,NA,NA,NA,NA,NA,NA
"LucMbah a Moute","201601",2017,70,15,NA,23,16,97,14,NA,16,189,NA
"GoranDragic","201609",2017,30,56,NA,13,28,274,90,30,637,203,113
"AnthonyMorrow","201627",2017,NA,13,NA,NA,NA,37,25,18,10,112,NA
"BlakeGriffin","201933",2017,80,57,245,192,67,183,NA,34,94,202,139
"JamesHarden","201935",2017,23,138,55,NA,31,353,64,54,944,116,552
"TyrekeEvans","201936",2017,NA,NA,NA,NA,NA,84,12,NA,187,71,67
"RickyRubio","201937",2017,23,63,NA,NA,17,163,36,NA,369,250,28
"StephenCurry","201939",2017,87,123,NA,15,29,394,71,268,485,203,135
"DeMarDeRozan","201942",2017,16,52,180,NA,34,176,99,144,822,139,343
"BrandonJennings","201943",2017,11,38,NA,NA,NA,166,25,NA,302,103,57
"GeraldHenderson","201945",2017,48,36,31,NA,16,117,86,47,110,149,44
"JamesJohnson","201949",2017,41,74,44,85,33,147,13,32,177,267,122
"JrueHoliday","201950",2017,26,60,15,NA,20,133,68,29,589,132,87
"TyLawson","201951",2017,16,59,NA,NA,17,121,27,15,328,130,33
"JeffTeague","201952",2017,16,84,11,NA,18,211,42,42,536,144,194
"DarrenCollison","201954",2017,38,46,NA,NA,NA,152,64,33,320,150,79
"OmriCasspi","201956",2017,33,NA,NA,NA,14,41,NA,10,NA,60,NA
"TajGibson","201959",2017,148,52,219,145,93,64,NA,NA,NA,103,38
"DeMarreCarroll","201960",2017,36,28,NA,NA,33,172,NA,36,29,284,24
"WayneEllington","201961",2017,12,14,NA,NA,NA,68,100,153,48,184,11
"ToneyDouglas","201962",2017,NA,14,NA,NA,NA,18,11,NA,49,30,11
"DanteCunningham","201967",2017,59,15,NA,19,30,71,NA,NA,NA,194,NA
"JonasJerebko","201973",2017,31,24,NA,23,22,33,NA,NA,NA,162,NA
"JodieMeeks","201975",2017,NA,NA,NA,NA,NA,56,33,95,26,99,NA
"PatrickBeverley","201976",2017,11,33,NA,NA,17,121,25,10,184,223,53
"MarcusThornton","201977",2017,11,10,NA,NA,15,26,12,38,61,52,15
"DannyGreen","201980",2017,12,36,NA,NA,20,111,25,46,35,246,NA
"PattyMills","201988",2017,29,26,NA,NA,NA,128,73,52,230,197,15
"GarrettTemple","202066",2017,32,31,NA,NA,13,105,33,35,101,157,26
"WesleyMatthews","202083",2017,20,43,84,14,NA,100,53,151,126,314,116
"ReggieWilliams","202130",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
"JohnWall","202322",2017,NA,122,27,NA,34,442,24,19,795,179,327
"EvanTurner","202323",2017,17,39,64,NA,21,90,42,25,183,129,85
"DerrickFavors","202324",2017,126,24,93,134,52,14,NA,NA,NA,62,NA
"WesleyJohnson","202325",2017,14,17,NA,23,12,28,NA,NA,NA,109,NA
"DeMarcusCousins","202326",2017,59,126,418,300,108,164,15,77,31,373,305
"GregMonroe","202328",2017,175,69,296,111,110,73,10,NA,NA,56,58
"Al-FarouqAminu","202329",2017,49,33,10,46,42,87,17,NA,14,283,30
"GordonHayward","202330",2017,133,53,46,NA,20,150,168,164,419,196,108
"PaulGeorge","202331",2017,40,81,89,43,29,253,51,326,301,203,300
"EdDavis","202334",2017,62,30,NA,54,55,NA,NA,NA,NA,NA,NA
"PatrickPatterson","202335",2017,19,31,NA,62,37,41,NA,NA,NA,245,NA
"LukeBabbitt","202337",2017,NA,17,NA,34,NA,45,NA,NA,NA,190,NA
"KevinSeraphin","202338",2017,51,14,62,46,26,11,NA,NA,NA,22,NA
"EricBledsoe","202339",2017,19,85,15,NA,19,286,43,23,658,160,136
"AveryBradley","202340",2017,81,40,NA,NA,40,117,131,118,173,151,46
"TrevorBooker","202344",2017,91,46,111,133,73,132,NA,NA,NA,113,52
"JordanCrawford","202348",2017,NA,NA,NA,NA,NA,49,14,23,77,47,21
"HassanWhiteside","202355",2017,235,99,337,204,258,49,NA,NA,NA,39,58
"NemanjaBjelica","202357",2017,28,18,NA,45,34,67,NA,NA,14,183,29
"LanceStephenson","202362",2017,NA,NA,NA,NA,NA,15,NA,NA,44,27,22
"TimofeyMozgov","202389",2017,93,43,89,64,44,31,NA,22,NA,37,10
"JeremyLin","202391",2017,16,24,NA,NA,NA,84,27,19,239,87,48
"IshSmith","202397",2017,NA,42,NA,NA,NA,214,34,NA,422,130,52
"LanceThomas","202498",2017,15,14,NA,16,17,37,NA,12,10,156,10
"KyrieIrving","202681",2017,39,80,43,12,24,264,94,71,583,137,367
"DerrickWilliams","202682",2017,35,NA,NA,33,11,57,NA,NA,NA,104,NA
"EnesFreedom","202683",2017,98,41,295,185,167,79,NA,15,NA,67,37
"TristanThompson","202684",2017,171,60,NA,153,126,63,NA,NA,NA,NA,NA
"JonasValanciunas","202685",2017,144,75,220,188,175,35,NA,NA,NA,38,26
"BismackBiyombo","202687",2017,167,71,47,136,75,39,NA,NA,NA,NA,NA
"BrandonKnight","202688",2017,11,32,NA,NA,10,117,34,19,297,98,68
"KembaWalker","202689",2017,32,64,NA,NA,17,202,106,81,967,182,110
"KlayThompson","202691",2017,138,61,33,NA,28,306,75,516,86,279,67
"AlecBurks","202692",2017,11,13,NA,NA,11,48,22,17,94,72,26
"MarkieffMorris","202693",2017,108,68,210,151,75,93,10,53,NA,234,106
"MarcusMorris Sr.","202694",2017,29,50,104,67,47,157,56,57,195,242,174
"KawhiLeonard","202695",2017,47,62,137,12,38,213,107,129,417,316,213
"NikolaVucevic","202696",2017,117,72,276,285,114,78,10,14,NA,182,68
"ImanShumpert","202697",2017,NA,30,NA,NA,NA,117,14,19,110,233,65
"TobiasHarris","202699",2017,38,29,114,130,39,171,29,50,132,352,167
"DonatasMotiejunas","202700",2017,35,20,21,38,13,20,NA,NA,NA,40,NA
"KennethFaried","202702",2017,148,50,62,54,139,63,NA,NA,NA,19,NA
"NikolaMirotic","202703",2017,46,37,49,71,37,106,21,49,NA,319,20
"ReggieJackson","202704",2017,NA,42,NA,NA,14,104,33,10,487,76,75
"CoryJoseph","202709",2017,NA,40,NA,NA,14,101,17,20,372,182,69
"JimmyButler","202710",2017,66,93,100,11,62,210,72,73,624,154,235
"BojanBogdanovic","202711",2017,69,50,10,NA,15,197,64,160,156,234,94
"KyleSingler","202713",2017,NA,NA,NA,NA,NA,29,14,NA,NA,37,NA
"ShelvinMack","202714",2017,13,23,NA,NA,NA,48,30,17,198,136,30
"ChandlerParsons","202718",2017,NA,10,17,NA,NA,31,16,25,48,88,16
"JonLeuer","202720",2017,84,27,66,113,64,104,NA,28,13,230,24
"DavisBertans","202722",2017,13,20,NA,24,NA,41,NA,22,NA,137,NA
"LavoyAllen","202730",2017,52,19,NA,31,45,17,NA,NA,NA,40,NA
"DeAndreLiggins","202732",2017,13,15,NA,NA,NA,48,NA,NA,23,69,11
"E'TwaunMoore","202734",2017,21,33,12,NA,16,137,35,80,147,205,29
"IsaiahThomas","202738",2017,25,87,NA,NA,20,308,216,169,671,270,178
"AnthonyDavis","203076",2017,129,99,305,484,131,184,45,142,19,245,191
"MichaelKidd-Gilchrist","203077",2017,125,27,34,NA,55,147,36,NA,64,239,30
"BradleyBeal","203078",2017,63,76,10,NA,26,276,77,360,361,218,133
"DionWaiters","203079",2017,NA,27,NA,NA,NA,122,43,37,230,171,179
"ThomasRobinson","203080",2017,34,31,11,40,52,37,NA,NA,NA,31,29
"DamianLillard","203081",2017,69,72,NA,NA,21,178,181,124,826,126,301
"TerrenceRoss","203082",2017,NA,31,NA,NA,NA,146,71,148,134,262,32
"AndreDrummond","203083",2017,186,110,335,148,281,98,NA,NA,NA,14,43
"HarrisonBarnes","203084",2017,64,52,268,124,29,87,12,219,61,224,369
"AustinRivers","203085",2017,18,32,NA,NA,NA,122,66,12,311,183,180
"MeyersLeonard","203086",2017,42,32,42,117,NA,21,NA,NA,NA,151,10
"JeremyLamb","203087",2017,38,13,NA,NA,19,44,31,52,233,107,38
"JohnHenson","203089",2017,116,40,45,83,64,26,NA,NA,NA,20,NA
"MauriceHarkless","203090",2017,88,23,97,31,85,118,19,33,34,212,21
"TylerZeller","203092",2017,40,15,NA,65,26,19,NA,NA,NA,14,NA
"TerrenceJones","203093",2017,76,31,64,91,46,87,NA,NA,NA,147,50
"EvanFournier","203095",2017,44,64,NA,NA,21,179,132,221,285,184,48
"JaredSullinger","203096",2017,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA
"MilesPlumlee","203101",2017,11,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
"TomasSatoransky","203107",2017,16,18,NA,NA,NA,29,NA,10,51,44,12
"JaeCrowder","203109",2017,66,56,30,20,26,148,58,94,48,328,18
"DraymondGreen","203110",2017,104,99,70,82,56,174,NA,33,47,236,25
"QuincyAcy","203112",2017,NA,14,NA,55,14,20,NA,NA,NA,64,NA
"KhrisMiddleton","203114",2017,15,31,51,10,NA,44,26,28,76,108,38
"WillBarton","203115",2017,48,40,NA,NA,27,169,51,26,254,158,63
"MikeScott","203118",2017,11,NA,NA,12,NA,10,NA,NA,NA,18,NA
"JustinHamilton","203120",2017,47,26,24,93,41,46,NA,10,NA,146,NA
"KyleO'Quinn","203124",2017,102,57,32,95,87,32,NA,NA,NA,81,30
"HollisThompson","203138",2017,13,NA,NA,NA,NA,39,18,11,NA,105,NA
"MirzaTeletovic","203141",2017,16,17,NA,25,NA,96,50,43,NA,205,NA
"KentBazemore","203145",2017,51,46,NA,NA,17,177,58,78,207,235,43
"BrianRoberts","203148",2017,NA,NA,NA,NA,NA,15,12,NA,62,33,19
"WillieReed","203186",2017,117,24,23,60,94,24,NA,NA,NA,12,NA
"JustinHoliday","203200",2017,57,45,NA,NA,NA,106,46,84,48,225,18
"JaMychalGreen","203210",2017,90,55,53,60,111,70,NA,10,NA,195,22
"AronBaynes","203382",2017,78,41,47,90,83,23,NA,NA,NA,14,NA
"NerlensNoel","203457",2017,106,29,NA,98,69,43,NA,NA,NA,25,10
"AlexLen","203458",2017,116,78,128,120,105,45,NA,NA,NA,38,15
"AllenCrabbe","203459",2017,39,21,NA,13,NA,126,73,167,34,268,12
"AndreRoberson","203460",2017,102,41,NA,11,54,127,22,NA,20,179,NA
"AnthonyBennett","203461",2017,12,NA,NA,16,17,13,NA,NA,NA,41,NA
